resistencia,tiempo,VCH2
3000,0.0021520000000000003,1.3
3000,0.002156,1.28
3000,0.0021599999999999996,1.28
3000,0.002164,1.28
3000,0.002168,1.3
3000,0.0021720000000000003,1.28
3000,0.002176,1.28
3000,0.0021799999999999996,1.3
3000,0.002184,1.28
3000,0.002188,1.3
3000,0.0021919999999999995,1.3
3000,0.002196,1.3
3000,0.0021999999999999997,1.3
3000,0.0022040000000000002,1.28
3000,0.002208,1.28
3000,0.0022119999999999996,1.28
3000,0.002216,1.3
3000,0.0022199999999999998,1.3
3000,0.0022240000000000003,1.3
3000,0.002228,1.3
3000,0.0022319999999999996,1.3
3000,0.002236,1.3
3000,0.00224,1.3
3000,0.0022440000000000003,1.28
3000,0.002248,1.28
3000,0.0022519999999999997,1.28
3000,0.002256,1.3
3000,0.00226,1.28
3000,0.0022639999999999995,1.28
3000,0.002268,1.3
3000,0.0022719999999999997,1.3
3000,0.0022760000000000002,1.3
3000,0.00228,1.28
3000,0.0022839999999999996,1.3
3000,0.002288,1.28
3000,0.0022919999999999998,1.3
3000,0.0022960000000000003,1.3
3000,0.0023,1.3
3000,0.0023039999999999996,1.3
3000,0.002308,1.3
3000,0.002312,1.3
3000,0.0023160000000000004,1.28
3000,0.00232,1.3
3000,0.0023239999999999997,1.28
3000,0.002328,1.3
3000,0.002332,1.3
3000,0.0023359999999999995,1.3
3000,0.00234,1.28
3000,0.0023439999999999997,1.3
3000,0.0023480000000000003,1.28
3000,0.002352,1.3
3000,0.0023559999999999996,1.3
3000,0.00236,1.28
3000,0.0023639999999999998,1.3
3000,0.0023680000000000003,1.3
3000,0.002372,1.28
3000,0.0023759999999999996,1.28
3000,0.00238,1.28
3000,0.002384,1.3
3000,0.0023879999999999995,1.3
3000,0.002392,1.28
3000,0.0023959999999999997,1.3
3000,0.0024000000000000002,1.28
3000,0.002404,1.3
3000,0.0024079999999999996,1.28
3000,0.002412,1.3
3000,0.0024159999999999997,1.28
3000,0.0024200000000000003,1.28
3000,0.002424,1.3
3000,0.0024279999999999996,1.3
3000,0.002432,1.3
3000,0.002436,1.3
3000,0.0024400000000000003,1.28
3000,0.002444,1.3
3000,0.0024479999999999997,1.3
3000,0.002452,1.3
3000,0.002456,1.3
3000,0.0024599999999999995,1.3
3000,0.002464,1.3
3000,0.0024679999999999997,1.3
3000,0.0024720000000000002,1.3
3000,0.002476,1.3
3000,0.0024799999999999996,1.3
3000,0.002484,1.3
3000,0.0024879999999999998,1.28
3000,0.0024920000000000003,1.3
3000,0.002496,1.3
3000,0.0024999999999999996,1.3
3000,0.002504,1.3
3000,0.002508,1.3
3000,0.0025120000000000003,1.28
3000,0.002516,1.3
3000,0.0025199999999999997,1.3
3000,0.002524,1.3
3000,0.002528,1.3
3000,0.0025319999999999995,1.3
3000,0.002536,1.3
3000,0.0025399999999999997,1.3
3000,0.0025440000000000003,1.3
3000,0.002548,1.3
3000,0.0025519999999999996,1.3
3000,0.002556,1.3
3000,0.0025599999999999998,1.3
3000,0.0025640000000000003,1.28
3000,0.002568,1.3
3000,0.0025719999999999996,1.3
3000,0.002576,1.3
3000,0.00258,1.3
3000,0.0025839999999999995,1.32
3000,0.002588,1.3
3000,0.0025919999999999997,1.3
3000,0.0025960000000000002,1.28
3000,0.0026,1.3
3000,0.0026039999999999995,1.3
3000,0.002608,1.3
3000,0.0026119999999999997,1.3
3000,0.0026160000000000003,1.3
3000,0.00262,1.28
3000,0.0026239999999999996,1.3
3000,0.002628,1.3
3000,0.002632,1.3
3000,0.0026360000000000003,1.28
3000,0.00264,1.3
3000,0.0026439999999999996,1.3
3000,0.002648,1.3
3000,0.002652,1.3
3000,0.0026559999999999995,1.3
3000,0.00266,1.3
3000,0.0026639999999999997,1.3
3000,0.0026680000000000002,1.28
3000,0.002672,1.28
3000,0.0026759999999999996,1.28
3000,0.00268,1.3
3000,0.0026839999999999998,1.28
3000,0.0026880000000000003,1.28
3000,0.002692,1.3
3000,0.0026959999999999996,1.3
3000,0.0027,1.3
3000,0.002704,1.3
3000,0.0027079999999999995,1.32
3000,0.002712,1.3
3000,0.0027159999999999997,1.3
3000,0.00272,1.3
3000,0.002724,1.3
3000,0.0027279999999999995,1.3
3000,0.002732,1.3
3000,0.0027359999999999997,1.28
3000,0.0027400000000000002,1.3
3000,0.002744,1.3
3000,0.0027479999999999996,1.3
3000,0.002752,1.3
3000,0.0027559999999999998,1.28
3000,0.0027600000000000003,1.3
3000,0.002764,1.3
3000,0.0027679999999999996,1.28
3000,0.002772,1.28
3000,0.002776,1.3
3000,0.0027799999999999995,1.3
3000,0.002784,1.3
3000,0.0027879999999999997,1.3
3000,0.002792,1.3
3000,0.002796,1.3
3000,0.0027999999999999995,1.3
3000,0.002804,1.3
3000,0.0028079999999999997,1.3
3000,0.0028120000000000003,1.3
3000,0.002816,1.3
3000,0.0028199999999999996,1.3
3000,0.002824,1.3
3000,0.002828,1.3
3000,0.0028320000000000003,1.3
3000,0.002836,1.3
3000,0.0028399999999999996,1.3
3000,0.002844,1.3
3000,0.002848,1.3
3000,0.0028519999999999995,1.3
3000,0.002856,1.3
3000,0.0028599999999999997,1.3
3000,0.0028640000000000002,1.3
3000,0.002868,1.3
3000,0.0028719999999999996,1.3
3000,0.002876,1.28
3000,0.0028799999999999997,1.3
3000,0.0028840000000000003,1.3
3000,0.002888,1.3
3000,0.0028919999999999996,1.3
3000,0.002896,1.28
3000,0.0029,1.3
3000,0.0029039999999999995,1.3
3000,0.002908,1.3
3000,0.0029119999999999997,1.28
3000,0.002916,1.3
3000,0.00292,1.3
3000,0.0029239999999999995,1.28
3000,0.002928,1.28
3000,0.0029319999999999997,1.32
3000,0.0029360000000000002,1.3
3000,0.00294,1.3
3000,0.0029439999999999996,1.3
3000,0.002948,1.3
3000,0.0029519999999999998,1.3
3000,0.0029560000000000003,1.28
3000,0.00296,1.3
3000,0.0029639999999999996,1.3
3000,0.002968,1.3
3000,0.002972,1.28
3000,0.0029759999999999995,1.3
3000,0.00298,1.28
3000,0.0029839999999999997,1.3
3000,0.002988,1.3
3000,0.002992,1.3
3000,0.0029959999999999995,1.3
3000,0.003,1.3
3000,0.0030039999999999997,1.3
3000,0.0030080000000000003,1.3
3000,0.003012,1.3
3000,0.0030159999999999996,1.3
3000,0.00302,1.3
3000,0.0030239999999999998,1.3
3000,0.0030280000000000003,1.3
3000,0.003032,1.3
3000,0.0030359999999999996,1.3
3000,0.00304,1.3
3000,0.003044,1.3
3000,0.0030479999999999995,1.3
3000,0.003052,1.32
3000,0.0030559999999999997,1.3
3000,0.0030600000000000002,1.3
3000,0.003064,1.32
3000,0.0030679999999999995,1.3
3000,0.003072,1.28
3000,0.0030759999999999997,1.3
3000,0.0030800000000000003,1.3
3000,0.003084,1.3
3000,0.0030879999999999996,1.3
3000,0.003092,1.3
3000,0.003096,1.3
3000,0.0030999999999999995,1.3
3000,0.003104,1.3
3000,0.0031079999999999997,1.3
3000,0.003112,1.3
3000,0.003116,1.3
3000,0.0031199999999999995,1.3
3000,0.003124,1.3
3000,0.0031279999999999997,1.3
3000,0.0031320000000000002,1.3
3000,0.003136,1.3
3000,0.0031399999999999996,1.3
3000,0.003144,1.32
3000,0.0031479999999999998,1.32
3000,0.0031520000000000003,1.3
3000,0.003156,1.3
3000,0.0031599999999999996,1.3
3000,0.003164,1.3
3000,0.003168,1.3
3000,0.0031719999999999995,1.3
3000,0.003176,1.3
3000,0.0031799999999999997,1.3
3000,0.003184,1.3
3000,0.003188,1.3
3000,0.0031919999999999995,1.3
3000,0.003196,1.3
3000,0.0031999999999999997,1.3
3000,0.0032040000000000003,1.3
3000,0.003208,1.32
3000,0.0032119999999999996,1.3
3000,0.003216,1.3
3000,0.0032199999999999998,1.3
3000,0.0032240000000000003,1.3
3000,0.003228,1.3
3000,0.0032319999999999996,1.3
3000,0.003236,1.32
3000,0.00324,1.3
3000,0.0032439999999999995,1.3
3000,0.003248,1.32
3000,0.0032519999999999997,1.3
3000,0.003256,1.3
3000,0.00326,1.3
3000,0.0032639999999999995,1.3
3000,0.003268,1.32
3000,0.0032719999999999997,1.3
3000,0.0032760000000000003,1.32
3000,0.00328,1.3
3000,0.0032839999999999996,1.32
3000,0.003288,1.3
3000,0.003292,1.3
3000,0.0032959999999999995,1.3
3000,0.0033,1.3
3000,0.0033039999999999996,1.3
3000,0.003308,1.3
3000,0.003312,1.3
3000,0.0033159999999999995,1.3
3000,0.00332,1.28
3000,0.0033239999999999997,1.3
3000,0.0033280000000000002,1.3
3000,0.003332,1.3
3000,0.0033359999999999996,1.3
3000,0.00334,1.3
3000,0.0033439999999999998,1.3
3000,0.0033480000000000003,1.3
3000,0.003352,1.3
3000,0.0033560000000000005,1.3
3000,0.00336,1.32
3000,0.003364,1.3
3000,0.0033680000000000003,1.3
3000,0.003372,1.3
3000,0.0033759999999999997,1.3
3000,0.00338,1.3
3000,0.003384,1.3
3000,0.0033880000000000004,1.28
3000,0.003392,1.3
3000,0.0033959999999999997,1.32
3000,0.0034000000000000002,1.3
3000,0.003404,1.3
3000,0.0034080000000000004,1.3
3000,0.003412,1.32
3000,0.0034159999999999998,1.3
3000,0.0034200000000000003,1.3
3000,0.003424,1.3
3000,0.0034280000000000005,1.3
3000,0.003432,1.3
3000,0.003436,1.3
3000,0.0034400000000000003,1.32
3000,0.003444,1.3
3000,0.0034479999999999997,1.3
3000,0.003452,1.3
3000,0.003456,1.3
3000,0.0034600000000000004,1.3
3000,0.003464,1.3
3000,0.0034679999999999997,1.3
3000,0.0034720000000000003,1.3
3000,0.003476,1.3
3000,0.0034800000000000005,1.3
3000,0.003484,1.3
3000,0.0034879999999999998,1.3
3000,0.0034920000000000003,1.3
3000,0.003496,1.3
3000,0.0035000000000000005,1.3
3000,0.003504,1.28
3000,0.003508,1.32
3000,0.0035120000000000004,1.3
3000,0.003516,1.3
