resistencia,tiempo,VCH1,VCH2
1000,0.00012600000000000003,1.26,-0.06
1000,0.00012699999999999994,1.28,-0.04
1000,0.00012800000000000008,1.26,-0.06
1000,0.000129,1.28,-0.02
1000,0.00013000000000000012,1.28,-0.02
1000,0.00013100000000000004,1.28,-0.02
1000,0.00013199999999999996,1.28,0.0
1000,0.0001330000000000001,1.28,-0.02
1000,0.000134,1.26,0.02
1000,0.00013499999999999992,1.28,-0.02
1000,0.00013600000000000005,1.28,0.02
1000,0.00013699999999999997,1.28,0.02
1000,0.0001380000000000001,1.28,0.02
1000,0.00013900000000000002,1.28,0.02
1000,0.00013999999999999993,1.26,0.02
1000,0.00014100000000000007,1.26,0.04
1000,0.00014199999999999998,1.28,0.04
1000,0.00014300000000000011,1.28,0.04
1000,0.00014400000000000003,1.28,0.04
1000,0.00014499999999999995,1.28,0.06
1000,0.00014600000000000008,1.28,0.08
1000,0.000147,1.28,0.08
1000,0.00014800000000000013,1.28,0.06
1000,0.00014900000000000004,1.26,0.08
1000,0.00014999999999999996,1.26,0.06
1000,0.0001510000000000001,1.28,0.1
1000,0.000152,1.28,0.12
1000,0.00015299999999999992,1.28,0.1
1000,0.00015400000000000006,1.28,0.1
1000,0.00015499999999999997,1.28,0.12
1000,0.0001560000000000001,1.28,0.12
1000,0.00015700000000000002,1.28,0.12
1000,0.00015799999999999994,1.28,0.12
1000,0.00015900000000000007,1.28,0.12
1000,0.00015999999999999999,1.28,0.12
1000,0.00016100000000000012,1.28,0.14
1000,0.00016200000000000003,1.28,0.16
1000,0.00016299999999999995,1.28,0.14
1000,0.00016400000000000008,1.28,0.14
1000,0.000165,1.28,0.18
1000,0.00016599999999999991,1.28,0.16
1000,0.00016700000000000005,1.28,0.16
1000,0.00016799999999999996,1.28,0.2
1000,0.0001690000000000001,1.28,0.16
1000,0.00017,1.28,0.2
1000,0.00017099999999999993,1.28,0.18
1000,0.00017200000000000006,1.28,0.2
1000,0.00017299999999999998,1.28,0.2
1000,0.0001740000000000001,1.3,0.22
1000,0.00017500000000000003,1.28,0.22
1000,0.00017599999999999994,1.28,0.22
1000,0.00017700000000000007,1.28,0.22
1000,0.000178,1.28,0.24
1000,0.00017900000000000012,1.28,0.22
1000,0.00018000000000000004,1.28,0.24
1000,0.00018099999999999995,1.28,0.24
1000,0.0001820000000000001,1.28,0.24
1000,0.000183,1.28,0.28
1000,0.00018399999999999992,1.28,0.24
1000,0.00018500000000000005,1.28,0.24
1000,0.00018599999999999997,1.28,0.26
1000,0.0001870000000000001,1.28,0.26
1000,0.00018800000000000002,1.28,0.26
1000,0.00018899999999999993,1.3,0.28
1000,0.00019000000000000006,1.28,0.3
1000,0.00019099999999999998,1.28,0.28
